eta index,centrality index,covariance
0,0,2.64023
0,1,1.76225
0,2,0.951386
0,3,0.787426
0,4,0.647196
0,5,0.545423
0,6,0.459779
0,7,0.341676
0,8,0.255496
1,0,2.93242
1,1,2.02384
1,2,1.11323
1,3,0.885972
1,4,0.728071
1,5,0.629348
1,6,0.522153
1,7,0.399288
1,8,0.293769
2,0,3.01829
2,1,2.14277
2,2,1.17271
2,3,0.969047
2,4,0.782754
2,5,0.670456
2,6,0.543503
2,7,0.430618
2,8,0.305074
3,0,3.084
3,1,2.27076
3,2,1.24651
3,3,1.03408
3,4,0.845065
3,5,0.709622
3,6,0.579455
3,7,0.462725
3,8,0.323516
4,0,3.14241
4,1,2.3881
4,2,1.34281
4,3,1.08572
4,4,0.909263
4,5,0.762964
4,6,0.62438
4,7,0.4859
4,8,0.34696
5,0,3.21741
5,1,2.54024
5,2,1.45138
5,3,1.17744
5,4,0.989266
5,5,0.832957
5,6,0.677162
5,7,0.525214
5,8,0.376109
6,0,3.28343
6,1,2.7039
6,2,1.5549
6,3,1.27679
6,4,1.07097
6,5,0.894189
6,6,0.724469
6,7,0.564385
6,8,0.403268
7,0,4.53967
7,1,5.61557
7,2,3.73298
7,3,3.0602
7,4,2.55535
7,5,2.12606
7,6,1.71756
7,7,1.32553
7,8,0.962907
8,0,4.53967
8,1,5.61557
8,2,3.73298
8,3,3.0602
8,4,2.55535
8,5,2.12606
8,6,1.71756
8,7,1.32553
8,8,0.962907
9,0,3.28343
9,1,2.7039
9,2,1.5549
9,3,1.27679
9,4,1.07097
9,5,0.894189
9,6,0.724469
9,7,0.564385
9,8,0.403268
10,0,3.21741
10,1,2.54024
10,2,1.45138
10,3,1.17744
10,4,0.989266
10,5,0.832957
10,6,0.677162
10,7,0.525214
10,8,0.376109
11,0,3.14241
11,1,2.3881
11,2,1.34281
11,3,1.08572
11,4,0.909263
11,5,0.762964
11,6,0.62438
11,7,0.4859
11,8,0.34696
12,0,3.084
12,1,2.27076
12,2,1.24651
12,3,1.03408
12,4,0.845065
12,5,0.709622
12,6,0.579455
12,7,0.462725
12,8,0.323516
13,0,3.01829
13,1,2.14277
13,2,1.17271
13,3,0.969047
13,4,0.782754
13,5,0.670456
13,6,0.543503
13,7,0.430618
13,8,0.305074
14,0,2.93242
14,1,2.02384
14,2,1.11323
14,3,0.885972
14,4,0.728071
14,5,0.629348
14,6,0.522153
14,7,0.399288
14,8,0.293769
15,0,2.64023
15,1,1.76225
15,2,0.951386
15,3,0.787426
15,4,0.647196
15,5,0.545423
15,6,0.459779
15,7,0.341676
15,8,0.255496